Date (date),Country Name (country_name),ISO Alpha 3 Code (alpha_3_code),Country Code (country_code),Region Name (region),Region Code (region_code),Sub-Region Name (sub_region),Sub-Region Code (sub_region_code),Harmonized System Code (hs_code),Commodity Name (commodity),Unit of Quantity (unit),Quantity of commodity (value_qt),Value of commodity quantity in INR (value_rs),Value of commodity quantity in US Dollars (value_dl)
"2019-02-01","United States of America","USA","840","Americas","19","Northern America","21","61152990","Panty Hose And Tights Of Other Fibres","Nos","174.43","366.31","0.51"
"2022-06-01","Canada","CAN","124","Americas","19","Northern America","21","82071900","Other Rock Drilng Or Earth Borng Tols , Including Parts","Kgs","1.11","35.67","0.05"
"2023-04-01","Colombia","COL","170","Americas","19","Latin America and the Caribbean","419","29420024","Imipramine Hcl","Kgs","0.35","22.12","0.03"
"2018-10-01","Mexico","MEX","484","Americas","19","Latin America and the Caribbean","419","38089390","Other Herbicides-Anti-Sprouting Products","Kgs","0.04","0.11","0.0"
"2021-06-01","Ecuador","ECU","218","Americas","19","Latin America and the Caribbean","419","90319000","Parts And Accessories Of Instrmnts Of 9031","Kgs","0.0","0.25","0.0"
"2022-06-01","Saint Lucia","LCA","662","Americas","19","Latin America and the Caribbean","419","95066920","Cricket Ball","Nos","0.24","0.31","0.0"
"2015-07-01","United States of America","USA","840","Americas","19","Northern America","21","62114290","Cotn Grmnts Othr Thn Kurta And Salwar Wth Without Duppatta","Nos","583.32","2941.15","4.62"
"2022-01-01","United States of America","USA","840","Americas","19","Northern America","21","73064000","Other,Welded,Of Circular Cross-Section, Of Stainless Steel Tubes/Pipes","Kgs","2187.38","7386.81","9.92"
"2017-08-01","Canada","CAN","124","Americas","19","Northern America","21","85011011","Micro Motor Wth Output <=37.5 W","Nos","69.68","159.87","0.25"
"2022-06-01","Uruguay","URY","858","Americas","19","Latin America and the Caribbean","419","29359090","Other","Kgs","0.65","50.3","0.06"
"2016-09-01","United States of America","USA","840","Americas","19","Northern America","21","32041751","Pigment Blue 15 (Pathalocyanine Blue)","Kgs","308.83","1262.88","1.89"
"2021-10-01","Peru","PER","604","Americas","19","Latin America and the Caribbean","419","62064000","Blouses,Shirts Etc Of Man-Made Fibres","Nos","3.66","11.28","0.02"
"2015-12-01","Guatemala","GTM","320","Americas","19","Latin America and the Caribbean","419","84249000","Parts Of Mechanical Appliances","Kgs","0.2","2.6","0.0"
"2020-09-01","Brazil","BRA","076","Americas","19","Latin America and the Caribbean","419","82075000","Tools For Drilling Otr Thn Rock Drilng","Kgs","0.01","1.42","0.0"
"2023-04-01","Canada","CAN","124","Americas","19","Northern America","21","39249090","Othr Houshold Andtoilt Artcls Of Plstcs Nes","Kgs","46.8","137.66","0.17"
"2024-06-01","Brazil","BRA","76","Americas","19","Latin America and the Caribbean","419","90299000","Prts And Accessories Of Artcls Of Hdg 9029","Kgs","0.0","0.2","0.0"
"2015-02-01","Ecuador","ECU","218","Americas","19","Latin America and the Caribbean","419","39021000","Polypropylene","Kgs","1508.0","918.08","1.48"
"2015-01-01","United States of America","USA","840","Americas","19","Northern America","21","52042010","Coton Thread,Sewing, Cntng Any Synthetic Staple Fibre","Kgs","0.1","0.22","0.0"
"2018-04-01","Trinidad and Tobago","TTO","780","Americas","19","Latin America and the Caribbean","419","62179090","Others And Trimmings Of Other Textile Fibres","Kgs","0.05","0.25","0.0"
"2018-02-01","Jamaica","JAM","388","Americas","19","Latin America and the Caribbean","419","9042211","Chilly Powder","Kgs","3.02","3.26","0.01"
"2023-11-01","Colombia","COL","170","Americas","19","Latin America and the Caribbean","419","90183930","Cannulae","Nos","69.0","6.38","0.01"
"2019-02-01","United States of America","USA","840","Americas","19","Northern America","21","34011190","Othr Soap And Orgnc Surface Active Productfor Tiolet Use (Incl Medicated Prdcts)","Kgs","130.37","283.49","0.4"
"2023-09-01","United States of America","USA","840","Americas","19","Northern America","21","84819010","Bicycles Valves","Kgs","11.44","126.78","0.15"
"2018-04-01","United States of America","USA","840","Americas","19","Northern America","21","82032000","Pliers,Pincers,Tweezers And Smrl Tools","Kgs","24.52","542.79","0.83"
"2019-07-01","Panama","PAN","591","Americas","19","Latin America and the Caribbean","419","87089400","Sterng Wheels,Sterng Columns And Sterng Boxs","Kgs","0.28","2.48","0.0"
"2016-11-01","United States of America","USA","840","Americas","19","Northern America","21","28275110","Sodium Bromide","Kgs","0.01","0.13","0.0"
"2018-09-01","Saint Lucia","LCA","662","Americas","19","Latin America and the Caribbean","419","69072100","Of A Water Absorption Coefficient By Weight Not Exceeding 0.5%","Sqm","1.23","4.78","0.01"
"2021-10-01","Brazil","BRA","76","Americas","19","Latin America and the Caribbean","419","38021000","Activated Carbon","Kgs","167.2","286.47","0.38"
"2018-09-01","United States of America","USA","840","Americas","19","Northern America","21","96072000","Parts Of Slide Fasteners","Kgs","1.78","26.55","0.04"
"2023-07-01","United States of America","USA","840","Americas","19","Northern America","21","11041900","Rolled/Flaked Grains Of Other Cereals","Kgs","3.2","2.88","0.0"
"2017-11-01","Cuba","CUB","192","Americas","19","Latin America and the Caribbean","419","82122019","Other Safety Razor Blades Incld Razor","Kgs","0.45","1.41","0.0"
"2021-09-01","Canada","CAN","124","Americas","19","Northern America","21","40169100","Floor Coverings And Mats","Kgs","186.6","138.18","0.19"
"2022-12-01","Argentina","ARG","32","Americas","19","Latin America and the Caribbean","419","29333919","*Other Derivatives Of Pyradine","Kgs","1.79","102.51","0.12"
"2018-07-01","Canada","CAN","124","Americas","19","Northern America","21","19059010","Pastries And Cakes","Kgs","2.13","5.09","0.01"
"2020-02-01","Mexico","MEX","484","Americas","19","Latin America and the Caribbean","419","90221490","Other X-Ray Mchns Fr Medcl Uses","Nos","0.0","27.34","0.04"
"2018-07-01","United States of America","USA","840","Americas","19","Northern America","21","85016430","Ac Generators (Alternators) Of An Output >5000Kva But <=15000Kva","Nos","0.0","168.37","0.25"
"2016-10-01","Puerto Rico","PRI","630","Americas","19","Latin America and the Caribbean","419","39241090","Other Tableware And Kitchenware Of Plastics","Kgs","7.98","10.15","0.02"
"2022-08-01","United States of America","USA","840","Americas","19","Northern America","21","76071190","Other Aluminium Foil Rolld","Kgs","259.16","1057.26","1.33"
"2021-08-01","United States of America","USA","840","Americas","19","Northern America","21","30049061","Analgin With Or Without Other Compounds Such As Paracetamol","Kgs","13.23","116.26","0.16"
"2020-10-01","United States of America","USA","840","Americas","19","Northern America","21","84749000","Parts Of Machns Of Hdg 8474","Kgs","714.05","2054.48","2.8"
"2018-08-01","United States of America","USA","840","Americas","19","Northern America","21","15155091","Sesame Oiland Its Fractions Other Thn Crudeof Edble Grade","Kgs","132.29","307.18","0.44"
"2015-03-01","Panama","PAN","591","Americas","19","Latin America and the Caribbean","419","6049000","Other Of Hdg. 0604","Kgs","3.2","8.92","0.01"
"2017-09-01","Guatemala","GTM","320","Americas","19","Latin America and the Caribbean","419","85044090","Others","Nos","0.2","0.9","0.0"
"2018-12-01","Mexico","MEX","484","Americas","19","Latin America and the Caribbean","419","62149090","Shawls,Scarves,Etc Of Othr Txtl Fibres","Nos","0.78","4.72","0.01"
"2016-09-01","Colombia","COL","170","Americas","19","Latin America and the Caribbean","419","64035990","Othr Smlr Ftwr Wth Outer Sole Of Lthr","Prs","0.06","0.21","0.0"
"2019-07-01","Peru","PER","604","Americas","19","Latin America and the Caribbean","419","28417090","Other Molybdates","Kgs","0.01","0.11","0.0"
"2023-09-01","Chile","CHL","152","Americas","19","Latin America and the Caribbean","419","64039990","Lthr Sandals With Othr Sole","Prs","1.83","17.07","0.02"
"2015-03-01","Mexico","MEX","484","Americas","19","Latin America and the Caribbean","419","83021020","Hinges 0F Brass","Kgs","1.2","4.6","0.01"
"2020-11-01","Canada","CAN","124","Americas","19","Northern America","21","83062910","Othr Statuettes(Excluding Works Of Art)","Kgs","0.09","0.91","0.0"
"2022-09-01","Canada","CAN","124","Americas","19","Northern America","21","63079090","*Othr Made Up Artcls Othr Thn Cotton","Kgs","27.65","395.87","0.49"
"2015-10-01","United States of America","USA","840","Americas","19","Northern America","21","87142090","Other","Kgs","14.25","93.2","0.14"
"2016-10-01","Canada","CAN","124","Americas","19","Northern America","21","29171200","Adipic Acid Its Salts And Esters","Kgs","3.04","3.28","0.0"
"2019-12-01","Argentina","ARG","32","Americas","19","Latin America and the Caribbean","419","68159990","Others","Kgs","5.42","12.06","0.02"
"2023-06-01","Dominican Republic","DOM","214","Americas","19","Latin America and the Caribbean","419","15153090","Castor Oilandits Frctns Othr Thn Edble Grade","Kgs","16.0","28.68","0.03"
"2017-02-01","Panama","PAN","591","Americas","19","Latin America and the Caribbean","419","39269099","Othr Article Of Plastic Nes","Kgs","30.81","37.51","0.06"
"2015-12-01","Chile","CHL","152","Americas","19","Latin America and the Caribbean","419","61113000","Babies Garments Etc Of Synthic Fbrs","Kgs","0.03","0.36","0.0"
"2020-09-01","Argentina","ARG","32","Americas","19","Latin America and the Caribbean","419","39206190","Pltes Shts Etc Of Plycrbnts Nes","Kgs","11.82","21.04","0.03"
"2021-02-01","United States of America","USA","840","Americas","19","Northern America","21","33041000","Lip Make Up Preparations","Kgs","0.09","1.91","0.0"
"2018-07-01","United States of America","USA","840","Americas","19","Northern America","21","73089050","Structures And Super Structures For Mining","Kgs","0.02","48.25","0.07"
"2019-05-01","United States of America","USA","840","Americas","19","Northern America","21","84295900","Other Mchncl Shovls,Excvtrs And Shovl Loadrs","Nos","0.0","19.26","0.03"
"2022-04-01","United States of America","USA","840","Americas","19","Northern America","21","29054290","Other Pentaerythritol","Kgs","138.09","270.82","0.36"
"2019-05-01","Chile","CHL","152","Americas","19","Latin America and the Caribbean","419","39269061","Hangers Of Polyurethane Foam","Kgs","0.09","0.09","0.0"
"2018-12-01","United States of America","USA","840","Americas","19","Northern America","21","94012000","Seats Of A Kind Used For Motor Vehicles","Nos","50.0","857.87","1.21"
"2015-12-01","United States of America","USA","840","Americas","19","Northern America","21","40151900","Other Gloves,Mittens And Mitts","Prs","256.0","25.66","0.04"
"2021-01-01","Costa Rica","CRI","188","Americas","19","Latin America and the Caribbean","419","29095050","Butylated Hydroxyanisole (Bha)","Kgs","0.1","0.73","0.0"
"2017-12-01","United States of America","USA","840","Americas","19","Northern America","21","32041299","Other Non Azo Acid Dyes","Kgs","1.56","16.92","0.03"
"2023-08-01","El Salvador","SLV","222","Americas","19","Latin America and the Caribbean","419","87089100","Radiators","Kgs","0.08","1.44","0.0"
"2022-04-01","Mexico","MEX","484","Americas","19","Latin America and the Caribbean","419","32041975","Solvent Based Colouring Matters: Blues","Kgs","0.6","11.28","0.01"
"2020-01-01","Costa Rica","CRI","188","Americas","19","Latin America and the Caribbean","419","85044040","Non Automatic Voltage Regltor And Stabilzr","Nos","0.01","0.11","0.0"
"2024-06-01","Brazil","BRA","76","Americas","19","Latin America and the Caribbean","419","54071029","Blechd Othr Polyester Fabrcs","Sqm","10.62","9.94","0.01"
"2018-12-01","Honduras","HND","340","Americas","19","Latin America and the Caribbean","419","68129922","Asbestos Gaskets","Kgs","0.03","0.5","0.0"
"2018-09-01","Panama","PAN","591","Americas","19","Latin America and the Caribbean","419","38210000","Prpd Cultr Media Fr Micro-Orgnsms Dvlpmnt","Kgs","3.0","3.72","0.01"
"2018-07-01","United States of America","USA","840","Americas","19","Northern America","21","39093990","Other","Kgs","19.6","46.54","0.07"
"2021-08-01","Bolivarian Republic of Venezuela","VEN","862","Americas","19","Latin America and the Caribbean","419","30045020","Mineral And Parenteral Nutritional Spplmnts/Contng Calsium Slts Wth Vtmn In Tablts Etc","Kgs","264.29","85.19","0.11"
"2023-10-01","Peru","PER","604","Americas","19","Latin America and the Caribbean","419","38089199","Other Insecticide Nes","Kgs","1.96","10.42","0.01"
"2021-05-01","United States of America","USA","840","Americas","19","Northern America","21","34022010","*Washing And Cleaning Preparations Having Basis Of Soap/Other Organic Surface Active","Kgs","0.8","1.01","0.0"
"2015-01-01","Uruguay","URY","858","Americas","19","Latin America and the Caribbean","419","73182200","Other Washers,Non-Threaded","Kgs","0.36","0.15","0.0"
"2023-08-01","United States of America","USA","840","Americas","19","Northern America","21","84798940","Transducers","Nos","0.0","2.03","0.0"
"2019-02-01","United States of America","USA","840","Americas","19","Northern America","21","55142900","Woven Fabrics Of Othr Synthtc Fibrs,Dyed","Sqm","24.16","85.19","0.12"
"2019-03-01","Mexico","MEX","484","Americas","19","Latin America and the Caribbean","419","72201290","Strips For Pipes And Tubes (Othr Thn Skelp) Others N.E.S. Thckns <4.75Mm","Kgs","0.19","0.36","0.0"
"2021-11-01","Canada","CAN","124","Americas","19","Northern America","21","61091000","T-Shirts Etc Of Cotton","Nos","555.69","1467.32","1.97"
"2017-08-01","Chile","CHL","152","Americas","19","Latin America and the Caribbean","419","84835010","Pulleys,Power Transmission","Nos","6.3","22.93","0.04"
"2020-10-01","United States of America","USA","840","Americas","19","Northern America","21","84771000","Injection-Moulding Machines","Nos","0.0","116.48","0.16"
"2016-11-01","United States of America","USA","840","Americas","19","Northern America","21","74181090","Parts","Kgs","0.74","7.06","0.01"
"2024-01-01","United States of America","USA","840","Americas","19","Northern America","21","45049000","Othr Agglomerated Corks","Kgs","0.02","0.51","0.0"
"2024-03-01","United States of America","USA","840","Americas","19","Northern America","21","11063020","Fl0Ur, Meal And P0Wder Of Sing0Da","Kgs","7.69","13.06","0.02"
"2022-01-01","Guyana","GUY","328","Americas","19","Latin America and the Caribbean","419","69101000","Sanitary Fixtures Of Porcelain/China","Kgs","20.27","6.74","0.01"
"2021-08-01","United States of America","USA","840","Americas","19","Northern America","21","97011020","*Kalamkari Paintings(On Txtls)","Nos","0.0","1.04","0.0"
"2020-05-01","Guatemala","GTM","320","Americas","19","Latin America and the Caribbean","419","32041342","Basic Violet 10 (Rhodamine B)-Non Azo","Kgs","1.0","17.09","0.02"
"2015-08-01","United States of America","USA","840","Americas","19","Northern America","21","34021190","*Others(E.G.Alkylsulphates,Technical Dodecylbenzene-Sulphonates,Etc)","Kgs","204.96","257.77","0.4"
"2019-03-01","United States of America","USA","840","Americas","19","Northern America","21","61083220","Nightdresses And Pyajamas Of Artificial Fibres","Nos","9.67","24.94","0.04"
"2023-11-01","Canada","CAN","124","Americas","19","Northern America","21","62081910","Slips And Peticots Of Cotn Othr Thn Hnd Prnt","Nos","0.35","2.93","0.0"
"2023-04-01","Brazil","BRA","76","Americas","19","Latin America and the Caribbean","419","85081100","Of A Power Not Exceeding 1,500 W And Having A Dust Bag Or Other Receptacle Capacity Not Exceeding 20 L","Nos","0.94","17.69","0.02"
"2023-11-01","Mexico","MEX","484","Americas","19","Latin America and the Caribbean","419","72223012","Bright Bars-Nckl Chromium Austenitic Type","Kgs","152.62","347.54","0.42"
"2019-08-01","Ecuador","ECU","218","Americas","19","Latin America and the Caribbean","419","87141090","Parts And Accessories Of Motorcycle Excl. Saddle","Kgs","14.7","52.82","0.07"
"2019-03-01","United States of America","USA","840","Americas","19","Northern America","21","39261099","Other Office Or School Supplies Nes","Kgs","75.3","173.23","0.25"
"2024-03-01","Mexico","MEX","484","Americas","19","Latin America and the Caribbean","419","85437092","Equipment Or Gadgets Based On Solar Energy","Nos","0.52","467.22","0.56"
"2024-02-01","United States of America","USA","840","Americas","19","Northern America","21","71042120","Non-Industrial Diamonds","Crt","0.63","43.05","0.05"
"2023-10-01","Brazil","BRA","76","Americas","19","Latin America and the Caribbean","419","49030020","Childrens Drawing Or Colorng Books","Kgs","151.69","358.2","0.43"
"2024-05-01","Mexico","MEX","484","Americas","19","Latin America and the Caribbean","419","73181500","Othr Screws And Bolts W/N Wth Nuts Or Washers Threaded","Kgs","67.77","242.23","0.29"
"2020-02-01","Aruba","ABW","533","Americas","19","Latin America and the Caribbean","419","73110090","Other Pressure Containers For Transport Or Storage Of Compressed Gases","Kgs","27.7","115.22","0.16"
"2022-01-01","United States of America","USA","840","Americas","19","Northern America","21","34060010","Candles","Kgs","1059.54","3203.61","4.3"
"2017-12-01","United States of America","USA","840","Americas","19","Northern America","21","73181900","Other Threaded Articles","Kgs","3109.5","1936.22","3.01"
"2018-02-01","Argentina","ARG","032","Americas","19","Latin America and the Caribbean","419","53050040","C0Ir Pith","Kgs","24.0","5.23","0.01"
"2018-06-01","Guatemala","GTM","320","Americas","19","Latin America and the Caribbean","419","85365020","Other Switches Of Plastics","Nos","0.21","0.09","0.0"
"2019-01-01","Canada","CAN","124","Americas","19","Northern America","21","71179010","Jewellery Set With Imitation Pearls Or Imitation Or Synthetic Stones","Kgs","0.03","5.06","0.01"
"2019-07-01","Canada","CAN","124","Americas","19","Northern America","21","51071090","Other Woollen Yarn","Kgs","0.01","0.14","0.0"
"2019-08-01","United States of America","USA","840","Americas","19","Northern America","21","32041139","Other Disperse Red","Kgs","11.05","169.63","0.24"
"2015-03-01","Canada","CAN","124","Americas","19","Northern America","21","84314990","Prts Of Othr Macnry Of Hd 8426,8429,8430","Kgs","10.89","99.6","0.16"
"2024-04-01","United States of America","USA","840","Americas","19","Northern America","21","72283019","Bright Bars Ofother Stl","Kgs","0.13","6.21","0.01"
"2024-06-01","Bolivarian Republic of Venezuela","VEN","862","Americas","19","Latin America and the Caribbean","419","39172390","Othr Tube Pipeand Hoses Of Polyvinyl Chlorde","Kgs","13.98","16.72","0.02"
"2017-07-01","United States of America","USA","840","Americas","19","Northern America","21","6031100","Roses","Kgs","0.64","0.88","0.0"
"2017-07-01","Mexico","MEX","484","Americas","19","Latin America and the Caribbean","419","39140020","Ion-Exchanger Of The Polymerisation Or Copolymerisation Type","Kgs","69.47","73.14","0.11"
"2016-08-01","United States of America","USA","840","Americas","19","Northern America","21","62031100","Suits Of Wool Or Fine Animal Hair","Nos","13.49","363.82","0.54"
"2015-07-01","Panama","PAN","591","Americas","19","Latin America and the Caribbean","419","87032191","Motor Car Wth Cylndr Cpcty<=1000 Wth Sprk-Igntn","Nos","0.02","53.21","0.08"
"2019-10-01","Peru","PER","604","Americas","19","Latin America and the Caribbean","419","68030000","Wrkd Slate And Artcls Of Slate/Aglmrtd Slate","Kgs","0.78","3.7","0.01"
"2023-12-01","Uruguay","URY","858","Americas","19","Latin America and the Caribbean","419","23099090","Other Preparations Of Animal Feeding","Kgs","11.55","18.03","0.02"
"2023-03-01","Brazil","BRA","76","Americas","19","Latin America and the Caribbean","419","29182120","Sodium Salicylate","Kgs","4.0","15.07","0.02"
"2018-11-01","Cayman Islands","CYM","136","Americas","19","Latin America and the Caribbean","419","30044100","Containing Ephedrine Or Its Salts","Kgs","0.0","0.08","0.0"
"2019-12-01","United States of America","USA","840","Americas","19","Northern America","21","84821051","Ball Bearings(Thrust Type)<=50 Mm Or 2 Inches Bore Diameter","Nos","0.18","0.93","0.0"
"2015-12-01","Dominican Republic","DOM","214","Americas","19","Latin America and the Caribbean","419","82041110","Hnd-Oprted Spaners Non Adjustable","Kgs","1.62","3.0","0.0"
"2022-02-01","Bolivia","BOL","68","Americas","19","Latin America and the Caribbean","419","87141090","Parts And Accessories Of Motorcycle Excl. Saddle","Kgs","2.04","14.23","0.02"
"2017-03-01","Colombia","COL","170","Americas","19","Latin America and the Caribbean","419","34021300","*Non-Ionic W/N For Rtl Sale","Kgs","17.46","22.1","0.03"
